Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Perimeter,AspectRatio,Circularity,MeanR,MeanG,MeanB,StdR,StdG,StdB,Classe
4926,96.6558075394382,65.4936096882297,0.73543413343836,0.974480712166172,264.564,1.47580516632921,0.884387865799451,34.8237921234267,31.7019894437678,30.5937880633374,21.4854031505284,21.6394475308942,20.6647308351767,1
5182,96.8297033547064,68.702310840794,0.704688420684148,0.987611968744044,260.802,1.40940970062991,0.957382396108718,28.0584716325743,27.3990737167117,26.4160555769973,14.9102266492812,14.8197606929889,13.9610467004176,1
6534,113.043487635174,74.1265926132958,0.754990968990521,0.965996451803666,322.422,1.52500585349849,0.789840972904775,35.435261707989,34.8587389041935,32.83608815427,21.598418355243,20.7519614169216,19.9933000043903,1
19665,272.905518096898,117.964272366575,0.901752297664034,0.756346153846154,874.089,2.31345908911166,0.32343908894044,33.6165268243071,32.0506483600305,31.475057208238,24.9950882367573,24.7496759213041,23.2874784496029,1
4866,93.7712834603823,66.2903679469819,0.707276754717884,0.97436924309171,267.004,1.41455367294656,0.857721770568338,39.3431976983148,38.1621454993835,35.8140156185779,25.4726375567873,25.3575259993965,23.9726320667672,1
6222,104.900809210332,76.105721257772,0.688220315348135,0.976306292170093,311.82,1.37835641626771,0.804140501412611,39.6438444230151,38.4991963998714,35.647862423658,22.1318358418477,21.8388815157256,20.7775763331157,1
4690,90.7423588851736,66.1327926239363,0.684729429439293,0.978306216103463,255.078,1.37212350007929,0.905809143908604,33.471855010661,32.8302771855011,31.1110874200426,21.4448500110009,20.7859173819073,19.6402336186473,1
4565,93.0940933176464,63.0533167126528,0.735700148842999,0.970038249043774,288.433,1.47643451877235,0.689542043679728,34.8604600219058,33.1093099671413,30.7719605695509,21.7218095440323,20.7360950650441,19.5891835224556,1
4597,95.8631417946222,61.3471764913366,0.768420384132425,0.97933532168726,251.646,1.56263331545764,0.912229903749589,32.7929084185338,31.4792255819012,30.898629541005,24.0172137318769,23.5180488530502,21.7407021299887,1
5083,102.615332649869,63.4287938977734,0.78608218537039,0.974875335634829,286.614,1.61780362425386,0.777562259875296,28.2372614597679,27.4229785559709,26.2321463702538,21.5129527381409,21.0333246770599,19.9946080260344,1
17424,287.152881796878,95.8986306095366,0.942585946371843,0.772340425531915,781.942,2.99433766646844,0.358103565306595,32.1866965105601,30.19536271809,29.9007690541781,24.5366867585508,24.2359299606295,22.4713244344574,1
3629,79.9140514722888,58.3550131063784,0.683209750864019,0.984002169197397,218.683,1.36944620895911,0.953601193561442,30.2400110223202,28.4444750620006,28.2295398181317,19.9973671806175,19.7558977679222,18.3778169193738,1
5462,96.2044634735096,72.4639446432569,0.657758931721498,0.983966852819312,271.131,1.32761836175395,0.933691076357262,32.8852068839253,31.1757597949469,30.6525082387404,19.9492903402342,19.8438847060373,18.819405319966,1
4742,98.6991368750465,61.3090335839808,0.78367511702959,0.98076525336091,256.971,1.60986287183681,0.90240851482517,30.7908055672712,29.5672711935892,27.9926191480388,17.3695182528824,17.2350160857086,16.330823318805,1
3961,80.4846875827358,63.1098396779774,0.620606310485341,0.981174139212286,226.928,1.27531123503743,0.96658162613116,33.9750063115375,32.5708154506438,31.1083059833375,19.7690741905055,19.577380695989,18.9107188402193,1
